Full,_1,_r,_RAJ2000,_DEJ2000,Vmag,e_,Bmag,e_,gmag,e_,rmag,e_,imag,e_
,,arcsec,"""h:m:s""","""d:m:s""",mag,mag,mag,mag,mag,mag,mag,mag,mag,mag
1,15 42 38.1624343435 -52 52 17.933422810,0.68,15 42 38.18280,-52 52 18.5880,15.002,0.037,15.782,0.05,15.395,0.014,14.706,0.005,14.481,0
1,15 41 40.8962131364 -52 50 45.894686485,0.96,15 41 40.93488,-52 50 46.7880,12.263,0.038,12.551,0.015,12.346,0.016,12.222,0.011,12.2,0.029
1,15 41 59.7626180131 -52 47 11.829852254,0.163,15 41 59.75928,-52 47 11.9904,15.482,0,16.418,0.074,15.856,0,15.073,0,14.768,0.008
2,15 41 59.7626180131 -52 47 11.829852254,0.598,15 41 59.81208,-52 47 12.2244,15.501,0,16.359,0.051,15.965,0.057,15.097,0.06,14.827,0.276
1,15 42 50.0315908178 -52 47 59.856430918,0.487,15 42 50.08440,-52 47 59.7696,16.094,0,17.102,0.097,16.656,0.026,15.756,0.023,15.283,0
1,15 42 44.2474033039 -52 54 07.378541353,1.648,15 42 44.42880,-52 54 07.5240,16.189,0,17.112,0.126,16.614,0,15.601,0,15.25,0.091
1,15 42 05.8960554107 -52 52 05.431300416,0.476,15 42 05.93736,-52 52 05.7252,12.687,0.015,14.009,0.027,13.325,0.027,12.165,0.02,11.637,0.036
1,15 41 53.9756498978 -52 43 42.467260536,0.329,15 41 53.93976,-52 43 42.5100,15.68,0.034,16.783,0.115,16.143,0.056,15.25,0.061,14.948,0.022
1,15 41 55.0412454213 -52 46 25.736837786,0.171,15 41 55.03968,-52 46 25.9068,15.326,0.094,16.132,0.023,15.653,0.029,14.986,0.017,14.758,0.097
1,15 42 49.4885973267 -52 45 04.192999015,0.452,15 42 49.43904,-52 45 04.1472,14.957,0.088,15.959,0.087,15.397,0.067,14.509,0.008,14.079,0.006
1,15 42 49.4885973267 -52 45 04.192999015,0.452,15 42 49.43904,-52 45 04.1472,14.957,0.088,15.959,0.087,15.397,0.067,14.509,0.008,14.079,0.006
1,15 42 02.2116245470 -52 46 19.687686007,0.773,15 42 02.21472,-52 46 20.4600,15.146,0.014,15.935,0.118,15.488,0.027,14.782,0.032,,
1,15 42 42.7072863825 -52 52 47.155583816,1.703,15 42 42.57672,-52 52 48.3816,13.399,0.006,15.011,0.117,14.2,0.021,12.778,0.024,12.127,0.067
1,15 41 50.3597428695 -52 49 56.788407348,0.952,15 41 50.44968,-52 49 57.2808,14.703,0.01,15.53,0.049,15.146,0.046,14.401,0.049,14.199,0.035
1,15 42 29.6616384346 -52 45 22.811258952,0.211,15 42 29.65968,-52 45 22.6008,16.756,0,18.192,0.255,17.405,0.077,16.266,0.072,15.608,0
1,15 41 46.5176777306 -52 51 16.817482436,0.27,15 41 46.50000,-52 51 16.5996,15.308,0.067,16.257,0.144,15.826,0,14.981,0.107,,
1,15 42 04.0508424546 -52 54 49.374389127,1.423,15 42 04.00368,-52 54 48.0168,15.465,0,16.41,0,15.914,0,15.085,0,14.587,0.124
2,15 42 04.0508424546 -52 54 49.374389127,1.767,15 42 04.20720,-52 54 48.3156,15.481,0.042,16.468,0.033,16.071,0.033,15.039,0.012,14.604,0.081
1,15 42 29.5486633540 -52 50 49.163483361,1.041,15 42 29.58000,-52 50 50.1648,15.705,0.049,16.754,0.045,16.277,0.006,15.275,0.011,14.58,0.049
1,15 42 22.9536512224 -52 52 39.325715163,1.499,15 42 23.05392,-52 52 40.5192,,,,,17.34,0.088,15.815,0,15.129,0
1,15 41 59.3667651903 -52 48 37.002992873,0.833,15 41 59.42016,-52 48 37.6812,14.346,0.008,15.352,0.016,14.822,0.016,13.914,0.012,13.47,0.036
1,15 41 59.3667651903 -52 48 37.002992873,0.833,15 41 59.42016,-52 48 37.6812,14.346,0.008,15.352,0.016,14.822,0.016,13.914,0.012,13.47,0.036
1,15 42 25.3619432917 -52 44 02.686560743,0.514,15 42 25.41240,-52 44 02.4540,13.174,0.034,15.591,0.071,14.291,0.023,12.186,0.055,10.856,0.079
1,15 42 51.6405636795 -52 48 34.674835589,0.352,15 42 51.61608,-52 48 34.4016,15.088,0.061,16.503,0.112,15.783,0.028,14.551,0.017,13.977,0.051
1,15 42 22.6796540803 -52 54 36.157545986,0.851,15 42 22.72344,-52 54 36.9108,15.015,0.069,16.065,0.075,15.567,0.022,14.586,0.022,14.205,0.038
1,15 42 11.6193845832 -52 53 08.797916906,1.285,15 42 11.50920,-52 53 07.9872,,,,,15.447,0.046,14.076,0.042,13.487,0.079
1,15 42 11.6193845832 -52 53 08.797916906,1.285,15 42 11.50920,-52 53 07.9872,,,,,15.447,0.046,14.076,0.042,13.487,0.079
1,15 42 33.9638335776 -52 49 03.310252469,0.29,15 42 33.98280,-52 49 03.5436,13.034,0.028,15.335,0.037,14.136,0.033,12.031,0.046,10.779,0.066
1,15 41 56.3143018617 -52 46 57.793721722,1.591,15 41 56.33904,-52 46 59.3688,16.068,0,16.891,0,16.493,0.042,15.765,0,,
1,15 42 38.1333578876 -52 53 25.902393842,0.437,15 42 38.16552,-52 53 26.2284,13.694,0.019,15.249,0.045,14.427,0.023,13.087,0.023,12.48,0.042
1,15 41 38.6407661177 -52 50 26.824261060,0.738,15 41 38.67624,-52 50 27.4884,15.01,0.061,15.803,0.18,15.267,0.031,14.721,0.039,,
1,15 42 44.1298184783 -52 54 44.416102628,1.4,15 42 43.98000,-52 54 44.7660,,,,,,,,,15.247,0.017
1,15 41 51.1712494242 -52 50 44.930529483,0.712,15 41 51.09792,-52 50 44.6748,14.707,0.011,15.406,0.047,15.057,0.043,14.47,0.015,14.353,0.127
1,15 42 52.3097776139 -52 49 49.341652196,1.615,15 42 52.48512,-52 49 49.0548,,,,,15.837,0.194,14.39,0.027,13.733,0.025
1,15 41 40.8120184000 -52 47 20.924003661,1.286,15 41 40.91472,-52 47 21.8112,15.309,0.037,16.22,0.017,15.731,0,14.918,0,14.602,0.139
1,15 41 47.8402307216 -52 54 32.278241092,1.534,15 41 47.89536,-52 54 33.7284,,,,,16.779,0.055,16.012,0,15.683,0.269
1,15 42 52.5391975261 -52 43 53.007585973,1.291,15 42 52.40640,-52 43 53.4684,15.063,0.037,16.102,0.023,15.54,0.03,14.622,0.035,14.055,0.107
1,15 42 47.7974552254 -52 52 43.853195648,0.753,15 42 47.81928,-52 52 44.5800,14.528,0.026,15.444,0.05,14.992,0.013,14.157,0.021,13.704,0.022
1,15 42 52.6892078595 -52 47 51.601772051,1.788,15 42 52.78992,-52 47 53.1384,16.061,0.062,17.355,0.169,16.819,0.072,15.619,0.079,14.799,0
1,15 41 51.5182254941 -52 54 06.148897621,0.816,15 41 51.56496,-52 54 06.8472,14.255,0.028,15.651,0.023,14.966,0.037,13.725,0.028,13.268,0.042
1,15 41 56.8188523370 -52 49 59.469683404,0.635,15 41 56.77416,-52 49 59.9592,15.73,0.047,16.684,0.105,16.133,0.045,15.341,0.006,14.917,0.037
1,15 41 42.9450400774 -52 54 52.338965863,0.586,15 41 42.97560,-52 54 52.8552,14.035,0.023,15.644,0.061,14.795,0.008,13.43,0.021,12.895,0.055
1,15 41 50.5907277343 -52 46 37.207235964,1.854,15 41 50.48136,-52 46 38.7732,13.908,0.017,15.466,0.058,14.639,0.021,13.312,0.006,,
1,15 42 08.2202341725 -52 50 14.322597968,1.645,15 42 08.35392,-52 50 15.4356,13.88,0,15.229,0,14.558,0,13.419,0,12.823,0.025
