Full,ra dec,_r,_RAJ2000,_DEJ2000,Rmag
,,arcsec,"""h:m:s""","""d:m:s""",mag
1,15 41 43.2401895451 -52 52 23.240210750,0.707,15 41 43.218672,-52 52 23.91996,
2,15 41 43.2401895451 -52 52 23.240210750,1.885,15 41 43.182000,-52 52 25.05000,14.33
1,15 42 38.1624343435 -52 52 17.933422810,0.03,15 42 38.163864,-52 52 17.96088,14.25
1,15 42 48.5193101595 -52 53 28.381944311,1.08,15 42 48.567336,-52 53 29.37012,15.79
2,15 42 48.5193101595 -52 53 28.381944311,1.491,15 42 48.673344,-52 53 28.91004,15.91
1,15 42 22.5897402988 -52 51 15.474228729,0.046,15 42 22.584936,-52 51 15.48900,14.43
1,15 41 40.8962131364 -52 50 45.894686485,0.009,15 41 40.896744,-52 50 45.90204,12.15
1,15 42 03.7075136238 -52 49 07.517234372,0.235,15 42 03.730008,-52 49 07.39992,16.83
1,15 41 55.6590353566 -52 47 34.606230557,0.523,15 41 55.714656,-52 47 34.46988,15.6
1,15 42 47.5613713179 -52 54 14.835183218,0.291,15 42 47.592672,-52 54 14.77008,16.51
1,15 41 48.4729524714 -52 47 47.595002028,0.249,15 41 48.491328,-52 47 47.41008,15.87
1,15 41 59.7626180131 -52 47 11.829852254,0.06,15 41 59.764344,-52 47 11.77188,15
1,15 41 40.7064502995 -52 48 29.617674252,0.228,15 41 40.724664,-52 48 29.45988,15.99
2,15 41 40.7064502995 -52 48 29.617674252,1.992,15 41 40.923336,-52 48 29.30004,17.67
1,15 41 59.9365919137 -52 48 45.200096512,0.234,15 41 59.947992,-52 48 44.98992,
1,15 42 08.7537920327 -52 50 22.778469724,0.07,15 42 08.761272,-52 50 22.79616,15.45
1,15 42 50.0315908178 -52 47 59.856430918,0.235,15 42 50.006328,-52 47 59.90784,15.36
1,15 42 33.5798212998 -52 44 30.776857040,0.187,15 42 33.592656,-52 44 30.63012,15.86
1,15 41 59.6882511060 -52 44 28.789282984,0.482,15 41 59.741328,-52 44 28.78008,16.43
1,15 41 54.9863834542 -52 47 45.647144693,0.245,15 41 55.012656,-52 47 45.58992,16.45
1,15 42 39.2919929291 -52 54 36.644332550,1.394,15 42 39.445992,-52 54 36.60012,16.39
1,15 42 49.9524661723 -52 46 14.246209682,0.438,15 42 49.926000,-52 46 13.87992,16.21
2,15 42 49.9524661723 -52 46 14.246209682,1.754,15 42 50.094000,-52 46 15.44016,
1,15 41 45.2259553355 -52 49 02.549500693,0.076,15 41 45.226536,-52 49 02.62488,14.8
1,15 41 59.7746409957 -52 48 26.769975597,0.29,15 41 59.806656,-52 48 26.75988,17.54
1,15 41 55.7658173563 -52 44 06.758518571,0.193,15 41 55.763328,-52 44 06.95004,16.66
1,15 41 40.2508311086 -52 46 22.461829646,0.403,15 41 40.254000,-52 46 22.05984,15.82
2,15 41 40.2508311086 -52 46 22.461829646,0.968,15 41 40.165344,-52 46 23.04012,15.99
1,15 41 49.9138412661 -52 47 17.329113812,0.13,15 41 49.927992,-52 47 17.31012,18.41
2,15 41 49.9138412661 -52 47 17.329113812,0.679,15 41 49.858656,-52 47 16.86984,18.66
1,15 42 45.0021842348 -52 54 01.517849938,0.246,15 42 45.022656,-52 54 01.68012,16.11
1,15 41 44.1972430327 -52 50 11.155670344,0.569,15 41 44.230008,-52 50 10.66992,16.59
2,15 41 44.1972430327 -52 50 11.155670344,1.866,15 41 44.287992,-52 50 09.48012,16.12
1,15 42 44.2474033039 -52 54 07.378541353,0.271,15 42 44.252328,-52 54 07.11108,15.65
1,15 41 39.4201153632 -52 44 02.850823019,0.322,15 41 39.435336,-52 44 02.55984,16.34
1,15 42 05.8960554107 -52 52 05.431300416,0.009,15 42 05.896056,-52 52 05.44008,12.04
1,15 42 23.5738991308 -52 46 49.260103826,0.607,15 42 23.629992,-52 46 48.92988,17.67
1,15 42 05.1272909225 -52 51 55.599526537,0.937,15 42 05.221344,-52 51 55.99008,16.28
1,15 42 44.3505695183 -52 49 37.321026029,0.048,15 42 44.352936,-52 49 37.27812,15.27
1,15 41 53.9756498978 -52 43 42.467260536,0.047,15 41 53.979192,-52 43 42.43296,15.17
1,15 42 47.7811865551 -52 47 25.451798432,0.077,15 42 47.789664,-52 47 25.46088,14.74
1,15 41 43.9726702949 -52 53 03.808349392,0.036,15 41 43.976664,-52 53 03.80616,15.22
1,15 42 05.5756610188 -52 53 15.350125960,0.016,15 42 05.577192,-52 53 15.35892,15.74
1,15 41 55.0412454213 -52 46 25.736837786,0.07,15 41 55.034136,-52 46 25.76388,14.79
1,15 42 01.7048209575 -52 52 47.555710074,0.224,15 42 01.726008,-52 52 47.43984,17.55
1,15 42 49.4885973267 -52 45 04.192999015,0.022,15 42 49.490328,-52 45 04.17708,14.02
1,15 42 49.4885973267 -52 45 04.192999015,0.022,15 42 49.490328,-52 45 04.17708,14.02
1,15 42 00.7809340431 -52 51 30.937572863,0.579,15 42 00.843336,-52 51 30.80988,16.23
1,15 42 00.5637576863 -52 49 31.216213877,0.174,15 42 00.546000,-52 49 31.14984,16.23
1,15 41 48.4537906051 -52 53 18.518211491,1.657,15 41 48.277344,-52 53 18.96000,14.75
1,15 41 48.4537906051 -52 53 18.518211491,1.657,15 41 48.277344,-52 53 18.96000,14.75
1,15 41 44.7387059579 -52 46 05.952145005,0.271,15 41 44.758656,-52 46 05.75004,17.72
1,15 42 07.8601133161 -52 45 45.891922525,1.687,15 42 07.922664,-52 45 47.48004,
1,15 42 25.4167247698 -52 51 42.839009388,0.095,15 42 25.427064,-52 51 42.82488,15.39
1,15 42 44.1803341892 -52 44 26.318914327,1.093,15 42 44.293992,-52 44 25.95984,12.55
1,15 41 51.0764593775 -52 44 45.906815218,0.25,15 41 51.098664,-52 44 45.75984,16.31
1,15 41 51.1102473418 -52 52 55.504227264,0.458,15 41 51.088656,-52 52 55.08984,15.67
2,15 41 51.1102473418 -52 52 55.504227264,0.824,15 41 51.199992,-52 52 55.63992,15.81
1,15 41 53.7894254753 -52 50 00.099387644,0.294,15 41 53.820672,-52 50 00.02004,17.31
1,15 42 02.2116245470 -52 46 19.687686007,0.023,15 42 02.212200,-52 46 19.71012,14.71
1,15 41 58.5204159489 -52 45 53.482274417,0.708,15 41 58.585344,-52 45 53.08992,16.74
1,15 41 44.2442610071 -52 52 43.323835310,0.007,15 41 44.244000,-52 52 43.31712,14.7
1,15 41 57.6880055700 -52 48 28.923989324,1.042,15 41 57.633336,-52 48 29.84004,16.01
1,15 42 40.6144390901 -52 49 57.572921838,0.049,15 42 40.616736,-52 49 57.61704,15.39
1,15 42 28.0317834220 -52 53 38.389411806,0.011,15 42 28.030536,-52 53 38.38992,15.71
1,15 41 47.0261185227 -52 52 20.251284100,0.196,15 41 47.046672,-52 52 20.19000,16.37
1,15 42 42.7072863825 -52 52 47.155583816,0.023,15 42 42.709656,-52 52 47.16408,11.86
1,15 42 29.0898291581 -52 46 11.826339203,0.443,15 42 29.110008,-52 46 12.23004,16.33
2,15 42 29.0898291581 -52 46 11.826339203,1.356,15 42 29.160672,-52 46 13.01988,16.91
1,15 41 48.4785589088 -52 52 39.996076492,0.548,15 41 48.532656,-52 52 39.74988,17.08
1,15 41 50.3597428695 -52 49 56.788407348,0.048,15 41 50.362056,-52 49 56.83116,14.03
1,15 42 16.3307549993 -52 50 12.736287069,0.181,15 42 16.349328,-52 50 12.67008,17.28
1,15 42 06.0254831213 -52 49 21.965224523,0.522,15 42 05.968656,-52 49 21.87984,17.36
2,15 42 06.0254831213 -52 49 21.965224523,1.319,15 42 05.918664,-52 49 21.06984,17.68
1,15 41 51.2427042991 -52 47 08.854056124,0.189,15 41 51.246672,-52 47 09.03984,
1,15 41 46.7241822704 -52 53 24.457226979,0.186,15 41 46.744008,-52 53 24.41004,16.48
2,15 41 46.7241822704 -52 53 24.457226979,0.889,15 41 46.818000,-52 53 24.72000,16.34
1,15 41 51.6035646853 -52 47 12.442470927,0.579,15 41 51.652008,-52 47 12.81984,
2,15 41 51.6035646853 -52 47 12.442470927,1.577,15 41 51.522000,-52 47 11.05008,15.32
1,15 42 46.6077244453 -52 48 13.129439934,1.159,15 42 46.663992,-52 48 14.16996,16.12
1,15 42 29.6616384346 -52 45 22.811258952,0.162,15 42 29.679336,-52 45 22.79016,15.92
1,15 42 18.5023458206 -52 45 07.867133226,0.568,15 42 18.522672,-52 45 07.32996,16.5
1,15 42 05.6852307499 -52 45 41.094954378,0.282,15 42 05.671992,-52 45 41.34996,16.65
1,15 42 10.5140926779 -52 49 36.440379649,0.292,15 42 10.545336,-52 49 36.36984,16.4
1,15 41 56.2056071572 -52 47 25.798081008,0.873,15 41 56.269992,-52 47 25.14984,16.8
1,15 41 46.5176777306 -52 51 16.817482436,0.002,15 41 46.517856,-52 51 16.81812,15.06
1,15 41 55.4857967183 -52 50 35.824097019,0.489,15 41 55.537992,-52 50 35.94984,15.96
1,15 41 52.5880474214 -52 47 26.953015414,0.024,15 41 52.588392,-52 47 26.92896,15.26
1,15 41 44.0659060108 -52 47 25.999455638,0.263,15 41 44.086536,-52 47 25.81512,
1,15 42 34.5021412511 -52 51 53.808470346,0.226,15 42 34.524000,-52 51 53.70012,16.13
1,15 41 44.6382596607 -52 53 07.648271452,1.632,15 41 44.668656,-52 53 06.03996,17.17
1,15 41 44.6382596607 -52 53 07.648271452,1.632,15 41 44.668656,-52 53 06.03996,17.17
1,15 42 38.9000874005 -52 50 07.218903965,0.031,15 42 38.902200,-52 50 07.19484,14.93
1,15 42 39.1300291095 -52 49 57.293703343,0.082,15 42 39.136800,-52 49 57.23904,15
1,15 42 45.0669907174 -52 53 35.026791810,0.046,15 42 45.061992,-52 53 35.03184,15.5
1,15 42 04.0508424546 -52 54 49.374389127,1.118,15 42 04.136664,-52 54 48.57012,14.5
1,15 42 28.2179000319 -52 43 48.709217967,0.458,15 42 28.171992,-52 43 48.51984,16.76
1,15 42 29.5486633540 -52 50 49.163483361,0.021,15 42 29.549256,-52 50 49.18416,14.98
1,15 42 19.6286913581 -52 47 07.561518795,0.403,15 42 19.665336,-52 47 07.78992,15.96
1,15 42 22.9536512224 -52 52 39.325715163,1.153,15 42 22.880664,-52 52 40.27008,14.88
1,15 42 42.0830310557 -52 46 43.050127346,0.096,15 42 42.090336,-52 46 42.98016,15.31
1,15 41 51.0211932197 -52 51 45.489696472,0.321,15 41 51.018672,-52 51 45.16992,15.32
1,15 41 59.3667651903 -52 48 37.002992873,0.028,15 41 59.364264,-52 48 36.98604,13.45
1,15 41 59.3667651903 -52 48 37.002992873,0.028,15 41 59.364264,-52 48 36.98604,13.45
1,15 42 25.3619432917 -52 44 02.686560743,0.008,15 42 25.362408,-52 44 02.68008,12.13
1,15 42 42.5712145829 -52 44 02.466052512,0.02,15 42 42.569472,-52 44 02.45400,13.95
1,15 41 41.3471159612 -52 47 24.385230449,0.052,15 41 41.351328,-52 47 24.34992,
1,15 42 04.4262852209 -52 51 30.120921279,0.246,15 42 04.453344,-52 51 30.09996,15.73
1,15 42 30.9918294029 -52 52 14.633226092,0.437,15 42 31.038672,-52 52 14.73996,16.13
2,15 42 30.9918294029 -52 52 14.633226092,1.722,15 42 31.132656,-52 52 15.79008,16.24
1,15 42 38.7807880306 -52 53 54.407377164,0.156,15 42 38.796000,-52 53 54.48012,18.36
1,15 42 29.2087041542 -52 49 24.350208587,0.623,15 42 29.277336,-52 49 24.39012,16.89
1,15 42 09.3314727181 -52 53 07.910416884,0.11,15 42 09.324144,-52 53 07.82304,15.68
1,15 42 41.4158969720 -52 46 30.196291134,1.88,15 42 41.250672,-52 46 31.32984,14.8
1,15 42 34.9762600746 -52 47 33.462568972,0.216,15 42 34.999344,-52 47 33.41004,16.55
1,15 42 51.6405636795 -52 48 34.674835589,0.019,15 42 51.642600,-52 48 34.67988,13.99
1,15 42 22.6796540803 -52 54 36.157545986,0.018,15 42 22.679400,-52 54 36.14004,14.39
1,15 42 45.7687631931 -52 45 55.874535948,0.11,15 42 45.779328,-52 45 55.82016,16.32
1,15 42 11.6193845832 -52 53 08.797916906,0.033,15 42 11.622672,-52 53 08.81196,13.39
1,15 42 11.6193845832 -52 53 08.797916906,0.033,15 42 11.622672,-52 53 08.81196,13.39
1,15 42 33.9638335776 -52 49 03.310252469,0.018,15 42 33.964944,-52 49 03.29592,11.88
1,15 41 44.4461181186 -52 48 09.602527256,0.013,15 41 44.444664,-52 48 09.60192,13.66
1,15 42 15.2928775858 -52 46 34.604877313,0.107,15 42 15.304656,-52 46 34.61016,16.05
1,15 41 56.3143018617 -52 46 57.793721722,0.183,15 41 56.308656,-52 46 57.96984,15.45
1,15 41 39.4199242763 -52 53 39.143042219,0.333,15 41 39.437328,-52 53 38.85000,16.18
1,15 41 45.0913461007 -52 52 44.148288285,1.856,15 41 44.983992,-52 52 45.72984,15.61
1,15 42 38.1333578876 -52 53 25.902393842,0.015,15 42 38.133600,-52 53 25.88784,13.23
1,15 41 38.6407661177 -52 50 26.824261060,0.018,15 41 38.641464,-52 50 26.84112,14.55
1,15 42 00.3389500878 -52 49 39.515762952,0.678,15 42 00.332664,-52 49 38.84016,15.63
2,15 42 00.3389500878 -52 49 39.515762952,1.431,15 42 00.309336,-52 49 38.11008,15.85
1,15 41 43.6965105695 -52 45 35.162774975,0.353,15 41 43.728000,-52 45 35.37000,16.54
1,15 42 44.1298184783 -52 54 44.416102628,0.582,15 42 44.104656,-52 54 43.88004,15.32
1,15 41 51.1712494242 -52 50 44.930529483,0.076,15 41 51.178128,-52 50 44.88684,14.13
1,15 42 06.8082160503 -52 50 53.864267312,0.3,15 42 06.836664,-52 50 53.71008,16.63
1,15 42 06.7471836093 -52 51 27.442282169,0.152,15 42 06.763992,-52 51 27.45000,16.07
1,15 41 41.7139729518 -52 49 08.188967025,0.496,15 41 41.749344,-52 49 07.80996,15.05
2,15 41 41.7139729518 -52 49 08.188967025,1.76,15 41 41.524656,-52 49 08.58000,15.12
1,15 41 41.7139729518 -52 49 08.188967025,0.496,15 41 41.749344,-52 49 07.80996,15.05
2,15 41 41.7139729518 -52 49 08.188967025,1.76,15 41 41.524656,-52 49 08.58000,15.12
1,15 41 49.7540123936 -52 46 45.463105791,0.163,15 41 49.771200,-52 46 45.41592,15.34
1,15 42 47.3247496447 -52 44 50.786109471,0.292,15 42 47.352672,-52 44 50.93016,16.24
1,15 42 52.3097776139 -52 49 49.341652196,0.008,15 42 52.308936,-52 49 49.33884,14.37
1,15 42 51.9803547001 -52 49 04.911378632,0.521,15 42 52.036008,-52 49 04.77984,17.01
1,15 41 45.5554346333 -52 46 37.748361673,0.814,15 41 45.580656,-52 46 38.52984,17.74
1,15 41 58.3353763264 -52 52 13.687561278,0.597,15 41 58.395336,-52 52 13.44000,15.75
1,15 41 57.3169912321 -52 52 52.762726832,0.689,15 41 57.364656,-52 52 53.29992,15.58
2,15 41 57.3169912321 -52 52 52.762726832,1.156,15 41 57.444672,-52 52 52.75992,
1,15 41 40.8120184000 -52 47 20.924003661,0.079,15 41 40.819344,-52 47 20.88096,14.04
1,15 41 47.8402307216 -52 54 32.278241092,0.326,15 41 47.809344,-52 54 32.10984,15.83
1,15 42 52.5391975261 -52 43 53.007585973,0.036,15 42 52.540464,-52 43 53.04216,13.77
1,15 41 39.6848558541 -52 50 32.476156735,0.376,15 41 39.684000,-52 50 32.10000,17.21
1,15 41 44.8045532644 -52 47 57.154042075,0.04,15 41 44.806344,-52 47 57.11784,14.89
1,15 42 47.7974552254 -52 52 43.853195648,0.008,15 42 47.796600,-52 52 43.85208,14.19
1,15 41 58.5087565254 -52 50 15.603740691,0.711,15 41 58.578672,-52 50 15.28008,17.17
2,15 41 58.5087565254 -52 50 15.603740691,1.794,15 41 58.619256,-52 50 14.11512,
1,15 41 55.9162618677 -52 48 17.676834345,0.397,15 41 55.945344,-52 48 17.38008,16.87
2,15 41 55.9162618677 -52 48 17.676834345,0.872,15 41 55.889328,-52 48 16.84008,17.16
1,15 42 41.7383742730 -52 52 50.354691427,0.078,15 42 41.746728,-52 52 50.37384,14.97
1,15 41 51.5182254941 -52 54 06.148897621,0.002,15 41 51.518400,-52 54 06.14808,13.76
1,15 42 02.5870752538 -52 51 39.636044539,1.334,15 42 02.622000,-52 51 38.34000,16.05
1,15 41 56.8188523370 -52 49 59.469683404,0.196,15 41 56.803272,-52 49 59.33316,15.23
1,15 41 57.0675299468 -52 53 52.390786053,0.087,15 41 57.060000,-52 53 52.33596,15.13
1,15 42 28.4339625312 -52 51 36.555277870,1.028,15 42 28.476000,-52 51 35.60004,16.05
1,15 42 24.7882769955 -52 53 18.629569132,0.006,15 42 24.788664,-52 53 18.62412,14.93
1,15 42 39.1106875530 -52 50 37.128149360,0.137,15 42 39.121056,-52 50 37.22784,15.52
1,15 42 15.4359663835 -52 54 29.814664910,0.327,15 42 15.432000,-52 54 29.49012,16.74
2,15 42 15.4359663835 -52 54 29.814664910,1.577,15 42 15.609336,-52 54 29.64996,16.62
1,15 42 27.9827264222 -52 52 56.199373948,0.175,15 42 27.978000,-52 52 56.03016,17.46
1,15 41 42.9450400774 -52 54 52.338965863,0.01,15 41 42.946128,-52 54 52.33896,13.55
1,15 42 12.9360917572 -52 53 07.457288240,0.656,15 42 12.969336,-52 53 08.04012,15.05
1,15 41 50.5907277343 -52 46 37.207235964,0.002,15 41 50.590536,-52 46 37.20612,13.04
1,15 41 55.5902064906 -52 54 19.957075292,0.37,15 41 55.626672,-52 54 19.78992,16.5
1,15 42 04.0173840931 -52 51 52.055002205,0.236,15 42 04.038000,-52 51 51.90984,16.81
1,15 42 19.2510100555 -52 45 03.839463934,0.074,15 42 19.243536,-52 45 03.86784,15.26
1,15 41 55.8950769793 -52 50 43.146773484,0.028,15 41 55.897992,-52 50 43.15704,15.19
1,15 42 08.2202341725 -52 50 14.322597968,0.02,15 42 08.218008,-52 50 14.32608,12.53
1,15 41 54.4316915727 -52 49 15.009730044,0.413,15 41 54.475344,-52 49 14.89008,17.44
