Full,_1,_r,_RAJ2000,_DEJ2000,Bmag,e_,Vmag,e_,gmag,e_,rmag,e_,imag,e_
,,arcsec,"""h:m:s""","""d:m:s""",mag,cmag,mag,cmag,mag,cmag,mag,cmag,mag,cmag
1,15 41 43.2401895451 -52 52 23.240210750,0.016,15 41 43.240248,-52 52 23.25612,,,,,,,,,,
1,15 42 38.1624343435 -52 52 17.933422810,0.05,15 42 38.164536,-52 52 17.97924,15.81,5,15.009,2,15.394,2,14.706,0,,
1,15 42 22.5897402988 -52 51 15.474228729,0.046,15 42 22.585488,-52 51 15.50016,15.607,3,14.606,1,,,,,,
1,15 41 40.8962131364 -52 50 45.894686485,0.012,15 41 40.897488,-52 50 45.89916,12.551,2,12.263,4,12.346,2,12.222,1,12.193,5
1,15 41 55.6590353566 -52 47 34.606230557,0.079,15 41 55.652544,-52 47 34.55412,,,,,,,,,,
1,15 41 48.4729524714 -52 47 47.595002028,0.015,15 41 48.473592,-52 47 47.58108,,,,,,,,,,
1,15 41 59.7626180131 -52 47 11.829852254,0.088,15 41 59.766216,-52 47 11.74812,16.359,5,15.501,1,15.965,6,15.097,6,14.827,28
1,15 42 08.7537920327 -52 50 22.778469724,0.087,15 42 08.762616,-52 50 22.81200,,,,,,,,,,
1,15 42 50.0315908178 -52 47 59.856430918,0.131,15 42 50.019960,-52 47 59.93412,17.102,10,16.094,1,16.637,1,15.74,1,15.283,1
1,15 42 33.5798212998 -52 44 30.776857040,0.273,15 42 33.551664,-52 44 30.68016,,,,,,,,,,
1,15 41 54.9863834542 -52 47 45.647144693,0.172,15 41 55.000176,-52 47 45.76524,,,,,,,,,,
1,15 42 49.9524661723 -52 46 14.246209682,0.325,15 42 49.950360,-52 46 14.57112,,,,,,,,,,
1,15 41 45.2259553355 -52 49 02.549500693,0.06,15 41 45.224760,-52 49 02.60832,,,,,,,,,,
1,15 42 44.2474033039 -52 54 07.378541353,0.22,15 42 44.255232,-52 54 07.17012,,,,,,,,,,
1,15 41 39.4201153632 -52 44 02.850823019,0.13,15 41 39.429264,-52 44 02.75028,,,,,,,,,,
1,15 42 05.8960554107 -52 52 05.431300416,0.013,15 42 05.897304,-52 52 05.42532,14.028,3,12.691,2,13.342,3,12.152,2,11.618,5
1,15 42 44.3505695183 -52 49 37.321026029,0.015,15 42 44.350608,-52 49 37.33608,,,,,,,,,,
1,15 41 53.9756498978 -52 43 42.467260536,0.034,15 41 53.978352,-52 43 42.44304,16.701,7,15.656,1,16.183,1,15.206,1,14.925,1
1,15 42 47.7811865551 -52 47 25.451798432,0.094,15 42 47.791008,-52 47 25.48212,16.648,6,15.68,1,16.284,1,15.221,1,,
1,15 41 43.9726702949 -52 53 03.808349392,0.049,15 41 43.977960,-52 53 03.81804,16.124,16,15.047,0,15.59,2,14.602,1,14.268,1
1,15 42 05.5756610188 -52 53 15.350125960,0.054,15 42 05.579808,-52 53 15.38916,,,,,,,,,,
1,15 41 55.0412454213 -52 46 25.736837786,0.068,15 41 55.033776,-52 46 25.74624,16.115,4,15.259,1,15.674,1,14.998,1,,
1,15 42 49.4885973267 -52 45 04.192999015,0.022,15 42 49.491048,-52 45 04.19616,15.826,3,14.914,1,15.417,1,14.578,1,14.027,1
1,15 42 49.4885973267 -52 45 04.192999015,0.022,15 42 49.491048,-52 45 04.19616,15.826,3,14.914,1,15.417,1,14.578,1,14.027,1
1,15 41 48.4537906051 -52 53 18.518211491,0.225,15 41 48.469776,-52 53 18.69000,,,,,,,,,,
1,15 41 48.4537906051 -52 53 18.518211491,0.225,15 41 48.469776,-52 53 18.69000,,,,,,,,,,
1,15 42 07.8601133161 -52 45 45.891922525,0.01,15 42 07.859160,-52 45 45.89604,,,,,,,,,,
1,15 42 25.4167247698 -52 51 42.839009388,0.061,15 42 25.422720,-52 51 42.86628,,,,,,,,,,
1,15 42 44.1803341892 -52 44 26.318914327,0.026,15 42 44.179272,-52 44 26.34324,14.654,1,13.513,1,14.132,1,13.208,1,12.829,4
1,15 41 51.1102473418 -52 52 55.504227264,0.144,15 41 51.125952,-52 52 55.52904,,,,,,,,,,
1,15 42 02.2116245470 -52 46 19.687686007,0.028,15 42 02.212248,-52 46 19.71516,15.908,3,15.066,1,15.463,1,14.806,1,,
1,15 41 44.2442610071 -52 52 43.323835310,0.027,15 41 44.246976,-52 52 43.31208,,,,,,,,,,
1,15 42 40.6144390901 -52 49 57.572921838,0.049,15 42 40.618176,-52 49 57.60804,17.312,12,15.821,1,16.669,1,15.531,1,,
1,15 42 28.0317834220 -52 53 38.389411806,0.026,15 42 28.034616,-52 53 38.38524,,,,,,,,,,
1,15 41 47.0261185227 -52 52 20.251284100,1.472,15 41 46.894536,-52 52 21.11520,,,,,,,,,,
1,15 42 42.7072863825 -52 52 47.155583816,0.026,15 42 42.709200,-52 52 47.17524,15.011,12,13.399,1,14.2,2,12.778,2,12.127,7
1,15 42 29.0898291581 -52 46 11.826339203,0.765,15 42 29.005488,-52 46 11.83728,,,,,,,,,,
1,15 42 25.2611925774 -52 53 04.646710184,0.055,15 42 25.267152,-52 53 04.63416,,,,,,,,,,
1,15 41 50.3597428695 -52 49 56.788407348,0.052,15 41 50.364720,-52 49 56.81424,15.53,5,14.703,1,15.146,5,14.401,5,14.194,1
1,15 42 46.6077244453 -52 48 13.129439934,0.282,15 42 46.578360,-52 48 13.22100,,,,,,,,,,
1,15 42 29.6616384346 -52 45 22.811258952,0.293,15 42 29.635560,-52 45 22.98420,18.192,26,16.756,1,17.35,1,16.318,1,15.608,1
1,15 41 46.5176777306 -52 51 16.817482436,0.011,15 41 46.517160,-52 51 16.82712,16.257,14,15.308,7,15.826,0,14.981,11,,
1,15 41 52.5880474214 -52 47 26.953015414,0.041,15 41 52.592544,-52 47 26.96028,,,,,,,,,,
1,15 42 34.5021412511 -52 51 53.808470346,0.191,15 42 34.510176,-52 51 53.98524,,,,,,,,,,
1,15 41 44.6382596607 -52 53 07.648271452,0.144,15 41 44.651160,-52 53 07.73304,,,,,,,,,,
1,15 41 44.6382596607 -52 53 07.648271452,0.144,15 41 44.651160,-52 53 07.73304,,,,,,,,,,
1,15 42 38.9000874005 -52 50 07.218903965,0.004,15 42 38.900352,-52 50 07.21608,,,,,,,,,,
1,15 42 07.9585977011 -52 45 50.985329261,0.073,15 42 07.966536,-52 45 50.97528,,,,,,,,,,
1,15 42 39.1300291095 -52 49 57.293703343,0.077,15 42 39.136104,-52 49 57.24012,,,,,,,,,,
1,15 42 45.0669907174 -52 53 35.026791810,0.033,15 42 45.064032,-52 53 35.04624,16.713,0,15.757,9,16.189,0,15.187,0,14.741,4
1,15 42 04.0508424546 -52 54 49.374389127,0.995,15 42 04.137120,-52 54 48.75732,16.491,6,15.452,1,16.083,4,15.039,1,14.604,8
1,15 42 29.5486633540 -52 50 49.163483361,0.018,15 42 29.550288,-52 50 49.17300,16.722,8,15.74,1,16.278,1,15.274,1,14.546,1
1,15 42 19.6286913581 -52 47 07.561518795,0.126,15 42 19.625448,-52 47 07.68408,,,,,,,,,,
1,15 42 22.9536512224 -52 52 39.325715163,0.14,15 42 22.951488,-52 52 39.18720,,,,,,,,,,
1,15 42 42.0830310557 -52 46 43.050127346,0.101,15 42 42.090144,-52 46 42.97224,,,,,,,,,,
1,15 41 51.0211932197 -52 51 45.489696472,0.043,15 41 51.020208,-52 51 45.53208,17.037,1,15.454,2,16.28,0,14.8,0,13.946,0
1,15 41 59.3667651903 -52 48 37.002992873,0.012,15 41 59.365920,-52 48 36.99432,15.36,1,14.349,1,14.83,1,13.917,1,13.447,3
1,15 41 59.3667651903 -52 48 37.002992873,0.012,15 41 59.365920,-52 48 36.99432,15.36,1,14.349,1,14.83,1,13.917,1,13.447,3
1,15 42 25.3619432917 -52 44 02.686560743,0.004,15 42 25.362432,-52 44 02.68728,15.584,12,13.155,5,14.309,1,12.14,2,10.785,2
1,15 42 42.5712145829 -52 44 02.466052512,0.003,15 42 42.571080,-52 44 02.46300,15.188,2,14.392,1,14.84,1,14.033,1,,
1,15 41 41.3471159612 -52 47 24.385230449,0.338,15 41 41.362752,-52 47 24.69228,,,,,,,,,,
1,15 42 30.9918294029 -52 52 14.633226092,0.094,15 42 30.984216,-52 52 14.56932,,,,,,,,,,
1,15 42 09.3314727181 -52 53 07.910416884,0.052,15 42 09.326904,-52 53 07.87812,,,,,,,,,,
1,15 42 41.4158969720 -52 46 30.196291134,0.368,15 42 41.448144,-52 46 29.97300,,,,,,,,,,
1,15 42 34.9762600746 -52 47 33.462568972,0.222,15 42 34.994208,-52 47 33.61308,,,,,,,,,,
1,15 42 51.6405636795 -52 48 34.674835589,0.034,15 42 51.643704,-52 48 34.69428,16.583,6,15.045,1,15.797,2,14.554,2,13.943,3
1,15 42 22.6796540803 -52 54 36.157545986,0.01,15 42 22.680720,-52 54 36.15624,16.116,1,14.983,6,15.559,2,14.6,2,14.212,2
1,15 42 45.7687631931 -52 45 55.874535948,0.18,15 42 45.774072,-52 45 55.70100,,,,,,,,,,
1,15 42 11.6193845832 -52 53 08.797916906,0.024,15 42 11.620872,-52 53 08.81808,,,,,,,,,,
1,15 42 11.6193845832 -52 53 08.797916906,0.024,15 42 11.620872,-52 53 08.81808,,,,,,,,,,
1,15 42 33.9638335776 -52 49 03.310252469,0.007,15 42 33.963600,-52 49 03.30312,15.366,2,13.004,1,14.162,1,11.992,2,10.712,1
1,15 41 44.4461181186 -52 48 09.602527256,0.015,15 41 44.447736,-52 48 09.59904,14.617,12,13.833,3,14.196,1,13.597,5,13.329,2
1,15 41 56.3143018617 -52 46 57.793721722,0.115,15 41 56.326872,-52 46 57.77832,,,,,,,,,,
1,15 42 38.1333578876 -52 53 25.902393842,0.01,15 42 38.132400,-52 53 25.89720,15.281,1,13.7,3,14.446,2,13.071,2,12.453,5
1,15 41 38.6407661177 -52 50 26.824261060,0.024,15 41 38.642544,-52 50 26.84220,15.803,18,15.01,6,15.267,3,14.721,4,,
1,15 42 00.3389500878 -52 49 39.515762952,0.111,15 42 00.340608,-52 49 39.62532,17.449,0,16.297,2,,,,,,
1,15 42 44.1298184783 -52 54 44.416102628,0.303,15 42 44.120064,-52 54 44.12628,,,,,,,,,,
1,15 41 51.1712494242 -52 50 44.930529483,0.062,15 41 51.176976,-52 50 44.89620,15.406,5,14.707,1,15.057,4,14.47,2,14.376,20
1,15 41 41.7139729518 -52 49 08.188967025,0.072,15 41 41.712144,-52 49 08.25924,17.118,11,16.293,1,,,15.745,1,,
1,15 41 41.7139729518 -52 49 08.188967025,0.072,15 41 41.712144,-52 49 08.25924,17.118,11,16.293,1,,,15.745,1,,
1,15 41 49.7540123936 -52 46 45.463105791,0.146,15 41 49.769160,-52 46 45.41520,,,,,,,,,,
1,15 42 47.3247496447 -52 44 50.786109471,0.255,15 42 47.326872,-52 44 50.53200,,,,,,,,,,
1,15 42 52.3097776139 -52 49 49.341652196,0.013,15 42 52.308360,-52 49 49.34208,,,,,,,,,,
1,15 41 58.3353763264 -52 52 13.687561278,0.213,15 41 58.358832,-52 52 13.67724,,,,,,,,,,
1,15 41 40.8120184000 -52 47 20.924003661,0.082,15 41 40.819560,-52 47 20.87808,16.22,2,15.309,4,15.731,1,14.918,1,14.504,1
1,15 41 47.8402307216 -52 54 32.278241092,0.182,15 41 47.822904,-52 54 32.18616,,,,,,,,,,
1,15 42 52.5391975261 -52 43 53.007585973,0.046,15 42 52.541520,-52 43 53.04900,16.115,1,15.076,3,15.554,2,14.615,5,14.028,14
1,15 41 44.8045532644 -52 47 57.154042075,0.022,15 41 44.805048,-52 47 57.13224,,,,,,,,,,
1,15 42 47.7974552254 -52 52 43.853195648,0.012,15 42 47.797488,-52 52 43.86504,15.47,5,14.536,0,14.992,2,14.151,3,13.688,2
1,15 42 52.6892078595 -52 47 51.601772051,0.16,15 42 52.691376,-52 47 51.76032,17.235,11,16.105,1,16.768,1,15.674,1,,
1,15 42 41.7383742730 -52 52 50.354691427,0.064,15 42 41.744544,-52 52 50.38608,,,,,,,,,,
1,15 41 51.5182254941 -52 54 06.148897621,0.019,15 41 51.520248,-52 54 06.14520,15.651,2,14.255,3,14.966,4,13.725,3,13.251,6
1,15 41 56.8188523370 -52 49 59.469683404,0.1,15 41 56.812392,-52 49 59.38824,16.759,7,15.697,1,16.165,1,15.346,1,14.891,1
1,15 41 57.0675299468 -52 53 52.390786053,0.073,15 41 57.064800,-52 53 52.32228,17.172,11,15.944,1,16.517,1,15.488,1,14.869,1
1,15 42 24.7882769955 -52 53 18.629569132,0.019,15 42 24.790104,-52 53 18.62124,,,,,,,,,,
1,15 42 39.1106875530 -52 50 37.128149360,0.162,15 42 39.128400,-52 50 37.15332,,,,,,,,,,
1,15 41 42.9450400774 -52 54 52.338965863,0.025,15 41 42.945744,-52 54 52.31520,15.644,6,14.035,2,14.795,1,13.43,2,12.867,8
1,15 41 50.5907277343 -52 46 37.207235964,0.005,15 41 50.590176,-52 46 37.20828,15.466,6,13.908,2,14.639,2,13.312,1,,
1,15 42 19.2510100555 -52 45 03.839463934,0.025,15 42 19.249776,-52 45 03.86208,,,,,,,,,,
1,15 41 55.8950769793 -52 50 43.146773484,0.064,15 41 55.901664,-52 50 43.17000,16.732,23,15.719,1,,,,,,
1,15 42 08.2202341725 -52 50 14.322597968,0.019,15 42 08.219952,-52 50 14.34120,15.237,3,13.907,8,14.59,2,13.329,3,12.741,1
